source,target,num_players,total_amount,total_normalized_amount,num_young_players,num_middle_aged_players,num_old_players,total_amount_for_young_players,total_amount_for_middle_aged_players,total_amount_for_old_players,total_normalized_amount_for_young_players,total_normalized_amount_for_middle_aged_players,total_normalized_amount_for_old_players
1164,3161,4,0,0,4,0,0,0,0,0,0,0,0
498,3508,3,0,0,1,1,1,0,0,0,0,0,0
124,164,7,0.16585,0.358243889,2,1,4,0.00855,0.1112,0.0461,0.017093163,0.260116959,0.081033767
1073,3600,3,0,0,3,0,0,0,0,0,0,0,0
3551,170,5,0.00798,0.003153153,3,2,0,0,0.00798,0,0,0.003153153,0
1025,800,12,0.00342,0.003671103,4,7,1,0,0.00342,0,0,0.003671103,0
5,1627,3,0,0,1,1,1,0,0,0,0,0,0
148,3008,10,0.41533,0.42850006,6,3,1,0.08693,0.2782,0.0502,0.096046411,0.27856786,0.053885788
2293,266,1,0,0,0,1,0,0,0,0,0,0,0
47,2524,1,0,0,0,0,1,0,0,0,0,0,0
583,355,2,0,0,1,1,0,0,0,0,0,0,0
10468,2783,19,0.0057,0.013157895,10,8,1,0.0057,0,0,0.013157895,0,0
2670,553,3,0,0,1,2,0,0,0,0,0,0,0
1132,1035,2,0,0,0,0,2,0,0,0,0,0,0
209,252,2,0.0581,0.048538012,2,0,0,0.0581,0,0,0.048538012,0,0
11932,2639,1,0,0,0,1,0,0,0,0,0,0,0
1267,20698,4,0,0,3,1,0,0,0,0,0,0,0
13,244,1,0,0,1,0,0,0,0,0,0,0,0
941,13392,1,0,0,1,0,0,0,0,0,0,0,0
6418,2671,1,0,0,1,0,0,0,0,0,0,0,0
3522,144,17,0,0,10,7,0,0,0,0,0,0,0
1150,29228,1,0,0,0,1,0,0,0,0,0,0,0
1050,366,11,0,0,8,2,1,0,0,0,0,0,0
23664,2477,2,0,0,1,1,0,0,0,0,0,0,0
159,681,1,0,0,1,0,0,0,0,0,0,0,0
6993,660,26,0,0,12,11,3,0,0,0,0,0,0
47,1049,1,0,0,1,0,0,0,0,0,0,0,0
281,398,3,0.0315,0.04966025,1,1,1,0,0.0285,0.003,0,0.042735043,0.006925208
141,189,1,0,0,0,1,0,0,0,0,0,0,0
999,29424,9,0,0,9,0,0,0,0,0,0,0,0
2,1,3,0,0,3,0,0,0,0,0,0,0,0
1158,1147,8,0,0,5,2,1,0,0,0,0,0,0
4147,130,1,0,0,1,0,0,0,0,0,0,0,0
985,1237,3,0,0,2,0,1,0,0,0,0,0,0
6195,408,3,0,0,0,1,2,0,0,0,0,0,0
8669,506,1,0,0,1,0,0,0,0,0,0,0,0
58,969,1,0,0,0,1,0,0,0,0,0,0,0
157,475,4,0,0,2,2,0,0,0,0,0,0,0
3057,2292,1,0,0,1,0,0,0,0,0,0,0,0
14766,447,34,0,0,29,1,4,0,0,0,0,0,0
252,1387,16,0.09998,0.193764246,12,3,1,0.07036,0.02962,0,0.143433943,0.050330304,0
206,681,1,0.0285,0.065789474,0,1,0,0,0.0285,0,0,0.065789474,0
982,13687,1,0,0,1,0,0,0,0,0,0,0,0
506,380,2,0,0,2,0,0,0,0,0,0,0,0
861,1049,2,0,0,1,1,0,0,0,0,0,0,0
1304,1435,8,0,0,6,1,1,0,0,0,0,0,0
631,288,1,0.0251,0.050179928,0,0,1,0,0,0.0251,0,0,0.050179928
54525,1184,1,0,0,1,0,0,0,0,0,0,0,0
8024,16222,1,0,0,1,0,0,0,0,0,0,0,0
868,114,4,0.00171,0.003571429,2,2,0,0.00171,0,0,0.003571429,0,0
38290,252,2,0,0,2,0,0,0,0,0,0,0,0
3183,498,1,0,0,0,1,0,0,0,0,0,0,0
820,2330,6,0,0,5,1,0,0,0,0,0,0,0
1047,46,4,0.00057,0.00049505,4,0,0,0.00057,0,0,0.00049505,0,0
410,10118,2,0,0,1,1,0,0,0,0,0,0,0
2995,2424,4,0,0,2,1,1,0,0,0,0,0,0
6994,19726,1,0,0,1,0,0,0,0,0,0,0,0
449,120,7,0,0,5,1,1,0,0,0,0,0,0
1005,172,1,0,0,1,0,0,0,0,0,0,0,0
6676,4007,4,0,0,4,0,0,0,0,0,0,0,0
2362,2566,1,0,0,0,1,0,0,0,0,0,0,0
720,1085,19,0.00684,0.006382979,11,6,2,0,0.00684,0,0,0.006382979,0
833,4652,17,0,0,17,0,0,0,0,0,0,0,0
13,252,1,0,0,0,1,0,0,0,0,0,0,0
41,533,2,0.0194,0.016207185,2,0,0,0.0194,0,0,0.016207185,0,0
2425,3345,8,0,0,4,3,1,0,0,0,0,0,0
8024,6600,1,0,0,1,0,0,0,0,0,0,0,0
583,641,1,0.057,0.11627907,1,0,0,0.057,0,0,0.11627907,0,0
1005,1025,7,0.0137,0.015812558,5,2,0,0.0137,0,0,0.015812558,0,0
20519,252,2,0,0,1,0,1,0,0,0,0,0,0
3205,1264,4,0,0,1,3,0,0,0,0,0,0,0
8544,4603,1,0,0,0,1,0,0,0,0,0,0,0
294,273,1,0.0114,0.00990099,1,0,0,0.0114,0,0,0.00990099,0,0
17,447,2,0,0,2,0,0,0,0,0,0,0,0
10139,2362,46,0,0,41,4,1,0,0,0,0,0,0
218,599,1,0,0,1,0,0,0,0,0,0,0,0
1533,681,16,0,0,9,7,0,0,0,0,0,0,0
2503,3327,3,0,0,2,1,0,0,0,0,0,0,0
35415,1091,14,0,0,14,0,0,0,0,0,0,0,0
681,7971,2,0,0,1,0,1,0,0,0,0,0,0
609,1301,8,0,0,8,0,0,0,0,0,0,0,0
2463,518,2,0,0,2,0,0,0,0,0,0,0,0
3060,6461,6,0,0,6,0,0,0,0,0,0,0,0
800,1415,3,0,0,2,1,0,0,0,0,0,0,0
6195,4337,1,0,0,1,0,0,0,0,0,0,0,0
990,762,7,0.1169,0.145995365,7,0,0,0.1169,0,0,0.145995365,0,0
416,2655,8,0,0,6,1,1,0,0,0,0,0,0
3062,1011,1,0,0,0,1,0,0,0,0,0,0,0
866,31,2,0.0912,0.19047619,2,0,0,0.0912,0,0,0.19047619,0,0
347,2967,1,0.00114,0.002597403,1,0,0,0.00114,0,0,0.002597403,0,0
81,30,3,0.00285,0.006578947,3,0,0,0.00285,0,0,0.006578947,0,0
1085,3325,7,0.00171,0.001111111,3,2,2,0,0.00171,0,0,0.001111111,0
192,3426,1,0.00171,0.004,1,0,0,0.00171,0,0,0.004,0,0
8519,3345,1,0,0,1,0,0,0,0,0,0,0,0
2282,1096,6,0.00912,0.007301587,5,0,1,0.00912,0,0,0.007301587,0,0
6994,6414,8,0,0,3,5,0,0,0,0,0,0,0
130,653,1,0,0,1,0,0,0,0,0,0,0,0
9197,126,7,0,0,7,0,0,0,0,0,0,0,0
244,53,1,0,0,1,0,0,0,0,0,0,0,0
3060,441,8,0,0,4,1,3,0,0,0,0,0,0
5219,35273,1,0,0,1,0,0,0,0,0,0,0,0
