source,target,weight
281,1132,1
1085,985,1
720,1003,1
1237,1039,1
281,371,1
989,3884,1
232,631,1
989,9636,1
11,358,1
1110,990,1
506,631,1
1132,2454,1
631,862,1
60,1003,2
23826,31,1
1045,1110,1
1042,762,1
603,989,1
1010,131,1
1237,29095,1
1455,603,1
4171,762,1
903,989,1
1010,8590,1
687,1237,2
1003,2964,1
29,350,1
989,124,1
1049,1237,1
1237,698,1
2288,148,1
132,281,2
2964,985,1
10093,1010,1
281,202,1
762,984,3
294,543,1
1072,603,1
989,703,1
1237,1071,2
543,1060,2
415,989,1
2288,931,1
180,1082,1
985,984,1
697,762,1
543,641,1
29,58,1
447,281,1
281,132,3
180,40812,1
2963,180,1
29,234,1
931,985,1
1010,294,1
371,180,1
2457,631,1
1237,1083,1
543,1191,1
13,543,3
585,873,1
1038,11,1
180,1038,1
131,11,1
1088,31,1
417,931,2
677,1132,1
1020,603,1
1132,11177,2
543,1114,1
358,1110,1
180,641,1
762,20,1
603,2578,1
543,472,1
39,1110,1
698,631,1
1071,29,1
989,337,1
1010,410,5
126,873,1
162,543,2
991,180,1
3684,379,1
2288,762,2
4634,1010,1
405,985,1
984,29,1
162,1003,2
1010,29,1
985,610,1
148,2288,1
281,25580,1
29,2440,1
631,1244,1
29,984,1
1003,984,1
10484,631,1
873,1110,1
683,29,1
9614,1010,1
698,931,1
543,2964,1
1110,39,1
603,1072,1
141,281,1
1010,4634,1
714,1010,1
49734,543,2
1032,180,1
1237,1032,1
29,2410,1
379,430,1
281,1403,1
131,29,3
281,2288,1
11,1032,1
543,2553,1
720,985,1
603,337,2
180,164,1
3368,989,1
631,5,1
1434,180,1
159,281,1
543,1050,1
543,683,1
873,511,1
1132,6954,1
281,79,1
31,989,2
989,543,1
1110,703,1
29,405,1
276,762,1
39,1237,1
22,1132,1
873,2481,1
281,418,1
31,1088,2
1003,281,1
873,294,1
660,281,1
1420,543,1
720,543,1
631,698,1
1003,22,1
51663,762,1
631,29,1
180,2963,1
1078,379,1
11,6195,1
762,1042,1
543,13,2
29,603,1
873,5432,1
931,1082,1
1032,631,2
3054,1110,1
985,601,1
16,11,1
1132,677,1
180,940,2
873,27774,1
543,475,2
603,1219,1
1003,18544,1
18,379,1
1010,3277,1
1191,543,1
29,677,1
931,677,1
543,49734,4
1071,1237,3
1237,1030,1
349,931,1
1027,1110,1
677,29,1
931,19789,1
244,931,1
1010,3709,1
6321,873,1
11,1091,1
1032,603,1
399,631,2
762,1035,2
16,931,1
631,405,1
543,30,1
1132,1039,1
543,989,1
