source,target,weight
192,167,0
1047,1385,3420000
1387,10155,0
2,41,12880000
3725,2700,0
3592,6994,0
1321,18985,0
22330,398,0
1041,379,1370000
415,244,18240000
800,408,884000
6195,419,0
2745,653,0
347,819,0
2431,3323,0
800,252,16530000
1020,3205,205000
10483,820,0
1020,972,0
12,410,12030000
32125,1025,0
30,1,0
2979,2180,0
46,3522,570000
10484,3216,0
21957,3999,0
62,377,439000
5,537,0
13,368,9690000
1010,29,46830000
2457,1075,0
1119,2655,0
5544,197,1151000
126,122,0
1025,10155,0
749,416,3420000
10688,11749,0
12054,11127,0
683,11107,0
987,337,0
1162,3776,0
2639,1075,0
3057,3898,0
232,3691,3990000
798,3508,0
798,234,0
1023,660,6270000
1005,433,0
126,2375,40000
19,704,0
2262,3008,2850000
265,553,0
1070,720,3760000
614,336,0
314,419,251000
2598,6541,0
1199,2861,0
1158,3161,0
62,1562,0
144,327,0
29228,9084,0
418,630,0
1083,1180,0
3336,2125,0
209,331,0
720,1075,684000
86,35,285000
1029,3302,3420000
18234,204,0
14588,2227,0
252,5,134650000
566,3057,0
720,20,5472000
6767,714,2510000
12,4083,285000
6621,2598,0
683,53,0
1775,2441,160000
1245,656,0
4128,16594,0
172,3225,0
1162,7124,0
506,19,0
447,2362,0
931,2275,0
1025,419,1140000
1420,1416,0
683,16795,0
1386,332,0
2639,1465,0
683,37276,0
419,447,2850000
419,2566,0
6808,1411,0
820,1296,0
631,1416,0
1426,234,0
41,39,57000
29,683,0
533,24,3192000
1083,148,0
1085,8065,0
2784,5219,0
5,418,76380000
11194,11083,0
631,1321,0
3728,172,40000
1049,368,8550000
1081,969,0
762,630,0
405,350,0
1429,6574,16710000
33,79,342000
985,46,0
40,1154,0
1444,3392,0
11127,11755,0
533,200,0
1322,197,2747000
1010,148,0
289,3688,0
8835,12066,0
4699,2292,0
5219,1091,0
28596,5546,0
2362,10139,0
648,366,0
5546,2598,0
114,12452,0
422,833,0
19083,377,0
999,2364,0
11194,12817,0
936,2231,0
468,7077,0
46,1307,0
408,410,0
995,2580,0
9249,358,171000
1436,2423,0
40426,11126,0
1184,968,0
2424,3325,0
892,5546,0
367,13,7980000
472,16795,0
6574,19,0
197,697,228000
35415,1091,0
16,610,0
3243,2696,1311000
130,1408,1117000
5225,1562,0
368,331,0
4326,130,0
299,82,171000
1429,5,2280000
4000,533,0
244,1147,0
19522,499,0
687,2282,1140000
12,10670,0
86,10,604000
2737,3733,0
506,1390,25042000
3592,6992,0
3385,128,0
379,762,0
982,8294,0
124,358,4900000
14,409,0
8838,49364,0
4535,2431,0
3522,862,0
16,127,114000
1775,2410,0
2861,24279,0
969,2580,0
371,984,3420000
984,405,23600000
121,14589,0
2698,683,0
4391,918,0
244,1158,5814000
38,533,0
16795,410,12540000
1005,506,0
157,3057,8892000
210,932,0
1321,450,0
1267,2381,0
524,152,0
14893,130,0
2977,28643,0
330,720,4060000
8086,503,0
9251,42,0
52,42,912000
533,4000,0
1293,2282,1140000
128,2680,0
12861,5225,0
447,223,0
583,124,570000
940,621,0
18105,33141,0
265,2381,0
11,1050,4560000
450,4868,0
609,839,0
1532,21957,0
447,8101,0
4770,144,0
2239,862,0
339,4482,0
6987,294,0
1041,131,54720000
162,750,3420000
7976,2,479000
265,5219,0
6992,3592,0
918,552,0
307,155,0
1110,29,0
968,354,0
1210,10348,0
339,3592,513000
131,1041,0
42039,450,57000
306,2288,969000
2919,5,23000
1132,405,0
683,398,0
3057,290,1710000
317,856,0
327,5107,0
1108,2464,0
4441,42821,0
2,39,0
873,8981,0
1154,157,0
24420,1533,0
3205,6890,0
631,1039,0
1244,621,0
4585,2441,0
399,22,342000
985,1035,0
36,355,13680000
449,1264,0
978,1301,0
192,1483,0
804,697,0
6993,660,0
6600,46,4330000
5545,18850,0
800,1408,0
131,13,4670000
475,3840,0
4687,2783,342000
232,2703,1480000
1083,2374,0
1032,368,2905000
1386,506,0
2439,22010,0
2227,16296,0
614,46,17830000
133,2815,0
1096,354,0
1075,121,12540000
6996,2783,0
458,669,0
2477,7130,0
10483,15273,0
126,44286,0
1029,6676,0
2362,12109,0
20699,20,0
8101,6087,0
18938,1038,0
11831,999,0
1387,3057,0
982,25243,0
660,6992,399000
631,164,0
21173,420,0
383,720,0
814,6377,0
720,618,912000
7378,720,6840000
12634,306,0
144,10247,0
1307,800,0
41,65,456000
130,5862,0
3386,128,86000
3551,8323,0
9352,1104,0
2079,553,0
866,409,0
2687,2503,0
800,4330,0
618,3631,0
415,738,456000
1158,1147,0
5595,845,0
399,2288,0
3325,29228,0
2566,935,0
918,327,0
2239,800,0
1443,128,171000
506,430,32260000
38290,800,0
1237,1039,0
553,4600,0
1627,4718,0
447,10314,0
6996,6414,0
408,2655,0
2727,9888,0
234,828,2850000
148,405,8210000
135,797,0
6992,10690,0
5546,197,1767000
12,4093,23000
1307,12,228000
862,52420,0
5,607,456000
358,1237,0
5,5174,0
1268,11487,0
31,603,0
1162,1175,0
18303,21216,0
11083,419,0
441,2441,456000
6996,338,0
506,4147,0
82,533,2052000
583,618,2050000
171,1087,0
87,11,342000
6890,58,3160000
398,46,95762000
327,28990,0
8963,9007,0
3711,1084,0
1003,1098,91000
3772,347,0
5544,479,0
2598,33472,0
1014,223,0
714,1531,0
420,9074,0
641,601,0
339,197,0
383,467,285000
14503,8024,0
820,999,0
398,252,912000
1098,29,0
524,1179,0
3008,148,0
4959,7179,0
252,16704,5700000
5225,7975,0
232,656,3880000
2,108,0
31,3688,0
53,631,5930000
2439,2703,137000
3592,339,228000
37276,683,0
355,2793,0
2288,1074,0
349,28095,0
978,4814,0
252,2655,228000
710,475,0
631,22,0
2655,130,855000
11,1219,0
3772,9010,0
5,4271,0
327,5411,0
935,155,0
3205,289,0
1090,1227,0
6483,1322,0
653,37276,0
720,2420,3284000
583,11720,0
130,12,18070000
317,200,0
3345,2639,0
506,130,12880000
1433,3945,0
720,2425,0
22653,2441,0
13,210,0
2410,41,2280000
4083,458,0
8,33,5130000
2381,2330,0
31,1158,0
1433,968,0
18506,5546,0
232,3197,0
7378,15368,0
2497,237,0
1028,148,0
2619,1050,1030000
130,2331,0
2457,40582,0
6105,1075,0
384,306,0
12,2921,7588000
410,839,0
2566,208,0
4031,800,0
35119,982,0
29,1042,0
192,324,0
2439,5287,0
239,170,228000
759,128,0
1150,631,0
2425,3274,0
141,1467,57000
1386,6195,3050000
