source,target,num_players,total_amount,total_adjusted_amount,"num_young_players, num_middle_aged_players, num_old_players"
5268,1627,2,0.0798,0.07446808510638297872340425532,1,1,0
7185,29803,3,0,0,3,0,0
197,5546,13,0.01197,0.02413964646699459750983327600,7,3,3
6418,3396,1,0,0,0,0,1
1096,2582,1,0,0,1,0,0
1228,403,5,0,0,5,0,0
1108,34148,2,0,0,0,1,1
762,2553,1,0,0,1,0,0
289,698,2,0,0,0,1,1
845,126,8,0,0,1,0,7
19,1025,8,0.0976,0.2060074428495481127060074429,3,3,2
6993,21903,1,0,0,0,0,1
1181,1132,1,0,0,0,0,1
642,383,4,0.0057,0.004761904761904761904761904762,3,1,0
1175,595,2,0,0,2,0,0
11402,327,10,0,0,10,0,0
16795,1084,3,0,0,2,0,1
3385,683,3,0.0057,0.008547008547008547008547008547,3,0,0
410,631,1,0,0,1,0,0
3392,2671,3,0,0,2,1,0
447,12105,3,0,0,3,0,0
845,664,1,0,0,0,0,1
12439,5268,1,0,0,1,0,0
631,368,1,0.0684,0.07894736842105263157894736842,1,0,0
3345,2425,8,0,0,5,3,0
447,419,3,0.01083,0.01373593542402704010710013976,3,0,0
26854,653,2,0,0,2,0,0
141,20,9,0.00285,0.002475247524752475247524752475,1,6,2
856,80,1,0.0137,0.02794777641778865769073847409,1,0,0
26936,3396,1,0,0,1,0,0
5545,1897,2,0,0,1,1,0
2420,294,10,0.05244,0.08225108225108225108225108225,6,3,1
10005,982,4,0,0,4,0,0
37474,2420,1,0,0,0,1,0
800,4103,1,0,0,1,0,0
80,8,2,0.00148,0.003461988304093567251461988304,1,1,0
173,2293,1,0,0,0,1,0
931,76,1,0,0,0,1,0
5220,5219,4,0,0,1,1,2
2921,430,3,0.0228,0.01481481481481481481481481481,2,1,0
13225,3999,1,0,0,0,1,0
3342,14171,1,0,0,1,0,0
4773,2457,1,0,0,1,0,0
399,698,1,0.00171,0.0025,1,0,0
1091,2891,1,0,0,0,0,1
630,142,3,0.0342,0.06976744186046511627906976744,1,1,1
683,206,1,0,0,0,0,1
413,2615,2,0,0,0,1,1
130,1390,5,0.0285,0.03059252898239587805925289824,3,2,0
535,6087,1,0,0,0,1,0
1075,6144,1,0,0,1,0,0
653,265,11,0.00946,0.01994004567443979928680051079,5,5,1
157,6418,1,0,0,0,1,0
3207,2381,3,0,0,3,0,0
903,169,1,0,0,0,1,0
11194,419,82,0.0947,0.1452083287748018488566724765,67,11,4
17444,5192,1,0,0,1,0,0
403,234,5,0,0,3,1,1
2079,1091,5,0,0,5,0,0
667,25,1,0.00741,0.01511627906976744186046511628,0,1,0
2703,10157,1,0.0057,0.01190476190476190476190476190,0,1,0
132,1227,3,0,0,3,0,0
2253,506,2,0,0,2,0,0
10484,2293,5,0,0,2,0,3
28095,3725,1,0.00257,0.002232065311794337328469689074,1,0,0
354,6131,1,0,0,0,1,0
1038,5432,1,0.0137,0.01470588235294117647058823529,0,1,0
