source,target,Weight
2036,33,0.0342
2118,605,0
47,12321,0
398,4084,0
605,3392,0
368,148,1.14
467,317,0.114
1020,289,0
2374,2696,0.0855
10483,15273,0
336,7179,0
2362,144,0.0912
40426,3719,0
38,3205,0
16704,6672,0
1119,3308,0
197,167,0.0114
512,1071,0
3060,265,0.0285
2969,1158,0.741
82,184,0
2703,204,0
2990,720,0.0456
3315,1111,0
21957,47,0
924,141,0
9010,3172,0
5862,130,0.0342
124,417,0
11107,152,0.0684
6064,1003,0.0171
314,485,0
467,234,0.251
66,15,0
1035,1027,0
317,13509,0
1075,979,0
9642,327,0
327,24575,0
980,169,0
4114,130,0
3325,1436,0
595,9250,0
22045,5,0
1390,2251,0.228
221,720,2.28
339,338,0.479
1076,172,0.0057
1041,46,0.342
2670,683,0.0456
232,1083,0.0912
1388,2921,0
566,3892,0
1123,610,0.0171
704,12,0.0059
449,36,0.365
607,46,0
3176,20,0.171
2423,720,0.171
2425,3899,0.0228
1267,825,0.2509
776,660,0.228
2457,940,0
2067,172,0
2867,3302,0
2362,999,0
448,533,0
1083,932,0.2052
1245,714,0
1304,200,0.103
833,2375,0
46,1775,0
169,1119,0
1321,804,0
368,331,0
1388,408,0
940,1237,0
347,273,1.938
289,1078,0
839,317,0
892,7975,0
621,472,0
355,595,0
2423,7179,0
3850,121,0.1197
2698,16704,0.0855
20,2292,0
589,449,0.2795
9544,419,0
91,18,0
3984,3391,0
5615,506,0
2696,8031,0
826,1159,0
314,456,0
9007,6993,0
1085,7178,0
1124,1083,0
618,162,1.938
2995,3323,0
189,294,0.958
1385,506,0
6993,3592,0
1186,932,0.57
6993,19726,0
2671,2670,0
720,12,0
964,1083,0.1425
3342,2420,0
4171,1387,0
48,2,0
409,6227,0
13017,6994,0
13288,204,0
621,2296,0
583,124,0
7020,5219,0
14350,2293,0
2251,4147,0
52,72,0
10107,172,0
524,1506,0
2420,3140,0
2441,6676,0
5545,197,0.0684
2420,24394,0
924,10484,0
28956,5219,0
1083,22579,0
1050,331,0
2432,2431,0
8963,6993,0
6996,16296,0
3392,3060,0.0285
820,740,0
641,1071,0.502
1237,762,0
498,354,0
2381,10693,0
1321,62,0.1568
1010,337,0.228
4083,430,0.342
4383,856,0
14280,6992,0
2481,122,0.0399
24,418,0.456
8671,6996,0
6993,18105,0
2441,3999,0
27525,6195,0
1032,631,0.616
3834,932,0
1045,337,0
1518,868,0
9007,6992,0.0684
4103,1390,0
648,714,0
416,2919,0
290,995,0.285
862,12,1.388
29228,979,0
157,1433,0
762,1020,0.599
2829,2995,0
7788,2457,0
3234,128,0
540,797,0
40,607,0
533,27,5.7
449,589,0.0228
11252,157,0
1245,475,0
2425,683,0
1108,13225,0
1435,1237,0
1029,3302,0.342
1436,2995,0.0143
408,1038,0.1098
2977,28643,0
3,44,0.228
669,2696,0.0114
498,3230,0
1435,3508,0
339,3592,0
114,449,0.1083
22619,1627,0.0285
990,148,0.205
10643,1429,0
39797,141,0
19,862,0.228
293,30,0
