source,target,Weight
2036,33,0.028571429
2118,605,0
47,12321,0
398,4084,0
605,3392,0
368,148,1.223701159
467,317,0.23255814
1020,289,0
2374,2696,0.197368421
10483,15273,0
336,7179,0
2362,144,0.063099811
40426,3719,0
38,3205,0
16704,6672,0
1119,3308,0
197,167,0.026315789
512,1071,0
3060,265,0.027395102
2969,1158,1.258306242
82,184,0
2703,204,0
2990,720,0.068376068
3315,1111,0
21957,47,0
924,141,0
9010,3172,0
5862,130,0.02970297
124,417,0
11107,152,0.142857143
6064,1003,0.04
314,485,0
467,234,0.28409734
66,15,0
1035,1027,0
317,13509,0
1075,979,0
9642,327,0
327,24575,0
980,169,0
4114,130,0
3325,1436,0
595,9250,0
22045,5,0
1390,2251,0.455817673
221,720,4.913419913
339,338,1.105724838
1076,172,0.003703704
1041,46,0.8
2670,683,0.068376068
232,1083,0.105409688
1388,2921,0
566,3892,0
1123,610,0.039473684
704,12,0.008625731
449,36,0.340612169
607,46,0
3176,20,0.197368421
2423,720,0.111111111
2425,3899,0.026315789
1267,825,0.412062959
776,660,0.09009009
2457,940,0
2067,172,0
2867,3302,0
2362,999,0
448,533,0
1083,932,0.291229581
1245,714,0
1304,200,0.096117954
833,2375,0
46,1775,0
169,1119,0
1321,804,0
368,331,0
1388,408,0
940,1237,0
347,273,0.765765766
289,1078,0
839,317,0
892,7975,0
621,472,0
355,595,0
2423,7179,0
3850,121,0.271491228
2698,16704,0.128205128
20,2292,0
589,449,0.461724193
9544,419,0
91,18,0
3984,3391,0
5615,506,0
2696,8031,0
826,1159,0
314,456,0
9007,6993,0
1085,7178,0
1124,1083,0
618,162,2.68128655
2995,3323,0
189,294,1.436497226
1385,506,0
6993,3592,0
1186,932,1.308954204
6993,19726,0
2671,2670,0
720,12,0
964,1083,0.192016527
3342,2420,0
4171,1387,0
48,2,0
409,6227,0
13017,6994,0
13288,204,0
621,2296,0
583,124,0
7020,5219,0
14350,2293,0
2251,4147,0
52,72,0
10107,172,0
524,1506,0
2420,3140,0
2441,6676,0
5545,197,0.027027027
2420,24394,0
924,10484,0
28956,5219,0
1083,22579,0
1050,331,0
2432,2431,0
8963,6993,0
6996,16296,0
3392,3060,0.065789474
820,740,0
641,1071,1.024071807
1237,762,0
498,354,0
2381,10693,0
1321,62,0.327020182
1010,337,0.263157895
4083,430,0.222222222
4383,856,0
14280,6992,0
2481,122,0.04516129
24,418,0.296296296
8671,6996,0
6993,18105,0
2441,3999,0
27525,6195,0
1032,631,0.710987996
3834,932,0
1045,337,0
1518,868,0
9007,6992,0.130434783
4103,1390,0
648,714,0
416,2919,0
290,995,0.569772091
862,12,3.054796081
29228,979,0
157,1433,0
762,1020,1.37502848
2829,2995,0
7788,2457,0
3234,128,0
540,797,0
40,607,0
533,27,4.392469392
449,589,0.01980198
11252,157,0
1245,475,0
2425,683,0
1108,13225,0
1435,1237,0
1029,3302,0.697674419
1436,2995,0.012419663
408,1038,0.216114064
2977,28643,0
3,44,0.148148148
669,2696,0.010638298
498,3230,0
1435,3508,0
339,3592,0
114,449,0.189979246
22619,1627,0.05952381
990,148,0.467076783
10643,1429,0
39797,141,0
19,862,0.476190476
293,30,0
1387,4515,0
169,2156,0
