source,target,total_normalized_amount_for_old_players
327,5551,0
422,403,0
5358,714,0
24,52,0
2424,19771,0
133,1304,0
1321,1293,0
2477,338,0
2741,11126,0
2977,9010,0
28095,1083,0
450,56670,0
398,1025,0
244,11,0
33,3631,0
1496,5546,0
6894,3205,0
336,8718,0
114,681,0
144,276,0
24319,2292,0
897,6767,0
2662,503,0
6996,6414,0
1427,2292,0
354,7545,0
45468,833,0
2921,46,0
2439,932,0
11126,3691,0
10138,918,0
26459,9007,0
252,13562,0
11427,3392,0
2944,1507,0
982,2423,0
449,4574,0
4106,862,0
669,683,0
978,566,0
11127,2700,0
1123,1039,0
79,82,0
715,5546,0
327,170,0
4172,862,0
3524,1158,0
11116,450,0
43119,314,0
430,749,0
3060,6461,0
1321,19039,0
366,1244,0
157,642,0
36,234,0
223,22262,0
3062,265,0
317,5,0
3266,1301,0
3371,1181,0
1095,347,0
7775,524,0
520,58,0
26722,130,0
609,294,0
1264,29051,0
1411,18945,0
281,40058,0
120,20,0
506,416,0.87273985
892,797,0
1455,235,0
405,1191,0
5546,11116,0
1083,2741,0
485,447,0
429,1075,0
18075,281,0
715,11116,0
2282,520,0
8239,2995,0
839,506,0
29,2262,0
2457,614,0
18303,26459,0
6994,2477,0
152,3209,0
825,2362,0
126,868,0
5862,130,0
862,800,0
415,40,0
144,327,0
989,991,0
6994,4641,0
2742,28178,0
4001,605,0
3325,3711,0
5544,197,0
3230,449,0
566,1073,0
33438,2441,0
1433,5689,0
7975,1322,0
618,321,0
786,979,0
1085,7637,0
5225,2410,0
180,1078,0
3691,16779,0
371,38,0
1264,2293,0
144,2566,0
17444,503,0
172,1417,0
23470,1119,0
58,10625,0
503,266,0
2288,379,0.592592593
5225,7805,0
979,25817,0
6414,338,0
9,5219,0
1465,2431,0
1390,790,0
338,1096,0
12,839,0
237,11,0
301,3205,0
289,288,0
618,338,0
798,1426,0
3183,157,0
2231,266,0
29,2817,0
995,903,0
820,589,0
2503,3323,0
266,170,0
2381,2323,0
1511,2695,0
6994,8838,0
3205,3216,0
499,235,0
204,1245,0
189,6418,0
11675,141,0
223,13839,0
16704,932,0
12,1387,0
2861,354,0
614,868,0
589,845,0
1162,1467,0
365,450,0
169,2441,0
7971,2521,0
825,36,0
157,3508,0
405,289,0
14,266,0
4750,11470,0
3719,4128,0
3691,1083,0
420,9074,0
855,683,0
157,53,0
3691,16950,0
16988,265,0
2257,1082,0
1184,708,0
1284,202,0
27219,3336,0
197,5546,0
11148,2362,0
724,20419,0
5219,2417,0
8827,979,0
2726,4589,0
5546,16704,0
3060,5219,0
11411,450,0
720,2990,0
2227,10719,0
5546,5545,0
122,940,0
1397,1082,0
3945,475,0
169,1029,0
384,192,0
41798,39722,0
3037,862,0
2598,1322,0
1443,498,0
417,1416,0
1085,25243,0
34559,144,0
1436,336,0
37474,18105,0
447,312,0
46,252,0
223,419,0
405,506,0
4750,11107,0
2672,1305,0
6992,12005,0
1161,172,0
1283,1090,0
5405,144,0
2655,862,0
2421,2420,0
1268,306,0
169,903,0
41,6163,0
235,1268,0
16247,26459,0
5587,410,0
999,8460,0
2441,53,0
520,3552,0
2700,3733,0
5544,1321,0
8820,379,0
17974,5287,0
601,3793,0
641,989,0
8024,8827,0
4787,1147,0
1408,46,0
1467,20,0
641,971,0
6418,441,0
2251,1386,0
46,13,0
252,332,0.015697138
4795,23826,0
2878,202,0
353,8835,0
6377,814,0
5621,430,0
1123,11,0
18858,2598,0
1210,5,0
976,1075,0
2700,28936,0
3592,339,0
9439,130,0
9007,2740,0
202,9265,0
918,485,0
468,3943,0
1038,862,0
1284,306,0
868,2293,0
5225,13716,0
4294,4750,0
150,8023,0
6227,2394,0
2323,19771,0
603,164,0
27525,6195,0
498,3508,0
2288,2156,0
128,4603,0
4467,856,0
11083,1079,0
1111,9010,0
42,235,0
3225,718,0
40,667,0
964,2696,0
159,204,0
2227,3725,0
114,199,0
1090,404,0
4589,3396,0
762,347,0
167,74,0
29424,999,0
1082,3558,0
164,2451,0
86,279,0
1421,40,0
11158,20,0
11033,447,0
618,11,0
368,121,0
30,33,0
6692,5,0
169,26854,0
479,5225,0
583,337,0
7918,449,0
28956,332,0
8146,2311,0
289,31,0
5572,441,0
383,12,0
3592,3690,0
861,995,0
14171,244,0
1005,800,0.372527062
969,2424,0
10314,2416,0
15156,2293,0
16795,12,0
33,167,0
1025,506,0
15300,2410,0
13552,25,0
512,1045,0
27,52,0
2067,162,0
417,8728,0
132,9265,0
141,7006,0
499,1091,0
252,276,0
367,150,0
379,162,0
28,72,0
80,699,0
4718,276,0
703,1123,0
2750,449,0
683,3709,0
62,8054,0
1075,7,0
331,714,0
14,790,0
62,868,0
46,631,0
1091,47,0
990,1020,0
132,1091,0
