source,target,Weight
10483,820,79
11194,419,67
12381,449,61
10139,2362,41
798,234,38
6993,8963,34
12109,11194,33
15156,2293,32
2832,524,31
9074,420,31
14766,447,29
6377,814,26
25029,419,26
4103,862,25
419,11194,24
16795,410,24
8578,447,24
4326,130,23
3592,339,23
3385,1091,23
3891,1073,23
25029,11194,22
380,398,22
918,419,21
10690,8963,21
1520,144,21
4628,20,20
5862,130,20
1096,985,20
4083,130,19
169,683,19
1322,197,19
499,631,19
6227,409,19
6156,2990,19
475,3057,18
1387,506,18
37782,6676,17
2598,941,17
26722,130,17
1455,1268,16
130,46,16
223,447,16
1511,449,16
2566,447,16
11148,447,16
9641,11194,16
2446,2444,16
814,6377,15
7378,720,15
1085,720,15
11085,336,15
2921,12,15
3522,46,15
9554,144,15
408,410,14
35415,1091,14
1429,800,14
2655,506,14
12105,447,14
13562,130,14
715,197,13
449,1511,13
5220,683,13
4159,506,13
409,23826,13
2250,46,13
485,918,13
6144,2425,13
4652,833,13
6996,6249,13
5111,419,13
11194,918,12
4585,2441,12
1417,1184,12
18026,1304,12
3062,169,12
697,197,12
10643,1429,12
8101,447,12
749,506,12
4750,720,12
6993,660,12
1429,252,12
22619,1627,12
332,12,12
252,5,12
839,800,12
1385,862,12
868,2944,11
999,144,11
839,506,11
1385,1038,11
456,314,11
130,1429,11
1025,46,11
2687,16795,11
2431,720,11
6912,1075,11
2424,1075,11
1387,252,11
3268,1085,11
4083,506,11
352,148,11
5113,327,11
8690,820,11
2425,294,11
2239,862,11
11158,20,11
24575,11194,11
11402,327,10
6098,653,10
2444,2446,10
503,170,10
13477,327,10
749,410,10
3230,204,10
4361,5,10
403,610,10
5544,197,10
10468,2783,10
4102,862,10
2331,800,10
468,1090,10
524,2832,10
157,3508,10
11856,999,10
2521,294,10
2394,316,10
410,1010,10
3691,232,10
169,2441,10
1010,410,10
999,419,10
5,252,10
408,506,10
8963,6993,10
968,58,10
3392,1091,10
37276,683,10
3205,6894,10
10690,660,10
1307,12,10
11083,447,10
1150,148,10
2944,868,10
15374,1038,10
3341,336,9
447,2566,9
408,130,9
9007,338,9
11083,11194,9
22253,332,9
327,144,9
8892,327,9
126,114,9
265,653,9
12630,599,9
1210,46,9
641,631,9
6987,294,9
276,130,9
1028,148,9
3037,130,9
10409,265,9
26789,506,9
8541,814,9
2577,289,9
2655,46,9
10643,130,9
5546,197,9
419,918,9
24898,130,9
9826,1390,9
862,46,9
5268,2410,9
2990,720,9
2921,506,9
1032,631,9
8970,252,9
11411,2783,9
2381,14933,9
1533,681,9
7809,814,9
4111,130,9
2703,2410,9
14933,2381,9
234,798,9
2790,252,9
2919,5,9
1083,932,9
252,862,9
2921,1038,9
1267,141,9
485,447,9
130,5,9
314,327,9
2993,498,9
839,410,9
8817,235,9
749,5,9
506,1387,9
2331,6195,8
19,130,8
5107,447,8
4083,6195,8
46,130,8
276,46,8
1147,244,8
17444,170,8
2331,5,8
2425,1075,8
152,820,8
22057,130,8
62,1322,8
456,327,8
169,3062,8
2805,405,8
4718,506,8
3522,144,8
10140,720,8
1627,22619,8
2968,244,8
202,610,8
2672,683,8
5753,982,8
2867,1050,8
447,8101,8
1434,1090,8
7975,1322,8
367,13,8
7378,10331,8
1038,506,8
3772,172,8
314,419,8
2744,9007,8
13299,197,8
2680,128,8
862,252,8
749,130,8
4102,6195,8
4333,12,8
3060,683,8
599,419,8
19,46,8
24575,22562,8
29228,1082,8
12378,2944,8
892,62,8
3062,3060,8
8541,1322,8
466,985,8
197,697,8
467,1228,8
999,29424,8
1385,410,8
8541,5546,8
6200,1304,8
130,506,8
200,383,8
1228,467,8
715,5546,8
13299,1322,8
2239,46,8
122,4467,8
19,12,8
409,6227,8
982,609,8
6678,2441,8
2431,336,8
133,200,8
8541,697,8
276,12,8
11148,420,8
3391,1091,8
1269,317,8
553,3060,8
197,5546,7
1020,512,7
4172,862,7
1411,172,7
1386,252,7
6996,338,7
833,114,7
2047,410,7
1005,5,7
3508,58,7
1075,13,7
697,62,7
839,12,7
12321,281,7
39,33,7
4001,265,7
3456,762,7
1083,232,7
62,697,7
600,2598,7
135,797,7
3336,2503,7
1039,148,7
2420,336,7
1387,130,7
6994,8963,7
3037,46,7
4114,130,7
2424,294,7
1429,506,7
2331,252,7
46,252,7
6405,2703,7
122,409,7
128,683,7
1429,130,7
2420,720,7
989,1020,7
566,1184,7
4102,800,7
1388,5,7
13716,5225,7
169,265,7
403,1090,7
1025,506,7
235,1090,7
8239,2995,7
12817,11083,7
524,114,7
3037,862,7
24773,1091,7
814,62,7
683,169,7
2425,720,7
19,506,7
485,11194,7
447,8578,7
4172,12,7
4389,2444,7
13299,2598,7
1385,800,7
1085,294,7
6994,10690,7
1242,419,7
5587,416,7
2598,62,7
418,3709,7
1010,985,7
1075,720,7
990,762,7
2919,46,7
14888,506,7
5107,419,7
4083,252,7
2430,336,7
1039,631,7
2503,720,7
202,1284,7
1897,62,7
2722,506,7
3323,2503,7
332,252,7
5621,430,7
3386,1091,7
28596,62,7
4467,122,7
6574,12,7
1091,3385,7
6692,458,7
1436,294,7
338,339,7
