node,type
167,Bundesliga
18,Bundesliga
42,Bundesliga
15,Bundesliga
41,Bundesliga
38,Bundesliga
23826,Bundesliga
44,Bundesliga
82,Bundesliga
27,Bundesliga
16,Bundesliga
33,Bundesliga
3,Bundesliga
86,Bundesliga
4,Bundesliga
39,Bundesliga
60,Bundesliga
79,Bundesliga
533,Bundesliga
24,Bundesliga
11,EPL
31,EPL
985,EPL
1003,EPL
1010,EPL
931,EPL
989,EPL
148,EPL
281,EPL
29,EPL
379,EPL
873,EPL
631,EPL
603,EPL
1237,EPL
762,EPL
2288,EPL
543,EPL
1110,EPL
984,EPL
512,EPL
180,EPL
1132,EPL
698,Other
1302,Other
36628,Other
20,Other
1074,Other
1027,Other
1075,Other
2643,Other
897,Other
22220,Other
10948,Other
1082,Other
327,Other
3368,Other
83,Other
415,Other
111,Other
3551,Other
2481,Other
1096,Other
276,Other
8970,Other
1245,Other
108,Other
861,Other
29095,Other
347,Other
127,Other
29228,Other
330,Other
899,Other
422,Other
677,Other
4561,Other
8054,Other
1421,Other
3688,Other
1123,Other
16704,Other
441,Other
350,Other
3709,Other
614,Other
714,Other
11245,Other
30,Other
759,Other
9572,Other
983,Other
2293,Other
2727,Other
92,Other
257,Other
349,Other
9855,Other
162,Other
6890,Other
9252,Other
1039,Other
12321,Other
855,Other
2999,Other
1091,Other
2414,Other
1044,Other
398,Other
3008,Other
85,Other
1030,Other
3455,Other
1198,Other
1060,Other
129,Other
18916,Other
368,Other
7055,Other
1042,Other
6699,Other
157,Other
417,Other
970,Other
1032,Other
3612,Other
413,Other
1083,Other
683,Other
1084,Other
409,Other
448,Other
3716,Other
667,Other
1038,Other
12374,Other
610,Other
1326,Other
234,Other
862,Other
932,Other
19789,Other
367,Other
1035,Other
687,Other
26,Other
33714,Other
6321,Other
720,Other
3277,Other
105,Other
46,Other
403,Other
2662,Other
5,Other
1181,Other
3694,Other
1028,Other
170,Other
40812,Other
405,Other
189,Other
641,Other
184,Other
679,Other
150,Other
66,Other
336,Other
3187,Other
589,Other
1071,Other
473,Other
358,Other
1465,Other
416,Other
22,Other
1020,Other
1434,Other
3899,Other
192,Other
1050,Other
2413,Other
2282,Other
1304,Other
131,Other
121,Other
29831,Other
317,Other
2446,Other
14,Other
371,Other
13,Other
1426,Other
114,Other
511,Other
2440,Other
81,Other
2805,Other
144,Other
254,Other
199,Other
7006,Other
4441,Other
618,Other
2454,Other
868,Other
4191,Other
35,Other
2964,Other
385,Other
2844,Other
44796,Other
2531,Other
337,Other
447,Other
109,Other
9715,Other
4795,Other
80,Other
2963,Other
3884,Other
990,Other
34,Other
36,Other
601,Other
1194,Other
472,Other
52,Other
2793,Other
321,Other
820,Other
1191,Other
6711,Other
16795,Other
51772,Other
19771,Other
4634,Other
2410,Other
1045,Other
3948,Other
355,Other
506,Other
418,Other
660,Other
2455,Other
2,Other
18544,Other
1390,Other
1162,Other
1306,Other
10,Other
7769,Other
17444,Other
1031,Other
1108,Other
1072,Other
499,Other
206,Other
1557,Other
826,Other
25467,Other
1467,Other
10484,Other
2503,Other
126,Other
3182,Other
1114,Other
45604,Other
141,Other
504,Other
995,Other
1211,Other
370,Other
1085,Other
27774,Other
17,Other
19684,Other
1088,Other
475,Other
49734,Other
1029,Other
187,Other
2578,Other
6163,Other
3057,Other
440,Other
452,Other
1622,Other
6368,Other
800,Other
2444,Other
5432,Other
273,Other
33304,Other
703,Other
399,Other
132,Other
172,Other
269,Other
113,Other
3684,Other
8590,Other
232,Other
3535,Other
6574,Other
16696,Other
1017,Other
41855,Other
1533,Other
1244,Other
159,Other
430,Other
7047,Other
583,Other
7,Other
40058,Other
2457,Other
1403,Other
972,Other
2262,Other
434,Other
4529,Other
6429,Other
3054,Other
1219,Other
1804,Other
48,Other
94,Other
3820,Other
669,Other
988,Other
244,Other
324,Other
25580,Other
790,Other
1078,Other
697,Other
197,Other
352,Other
202,Other
18075,Other
9250,Other
1268,Other
419,Other
39722,Other
6195,Other
23,Other
239,Other
190,Other
164,Other
2553,Other
91,Other
21,Other
12,Other
65,Other
4171,Other
5358,Other
43,Other
2760,Other
1416,Other
124,Other
119,Other
247,Other
58,Other
16214,Other
11688,Other
940,Other
72,Other
1109,Other
4035,Other
289,Other
801,Other
1100,Other
89,Other
1061,Other
410,Other
2381,Other
6499,Other
294,Other
62,Other
1041,Other
200,Other
1053,Other
681,Other
2036,Other
6954,Other
991,Other
1049,Other
776,Other
3537,Other
28760,Other
1023,Other
11177,Other
22178,Other
468,Other
9636,Other
903,Other
