node,label
698,Bristol City
1302,Northampton Town
379,West Ham United
36628,Guizhou Hengfeng
20,Bursaspor
1074,Tranmere Rovers
1027,Bradford City
1075,SC Braga
2643,ZFC Meuselwitz
897,Deportivo de La Coruña
22220,FC Astana
10948,Guangzhou Evergrande Taobao
1082,LOSC Lille
327,NK Osijek
3368,Levante UD
83,VfR Aalen
415,FC Toulouse
111,Rot-Weiß Erfurt
3551,SC Rheindorf Altach
2481,Sheriff Tiraspol
1096,Royal Antwerp FC
276,Hellas Verona
8970,Frosinone Calcio
1245,KAS Eupen
108,SV Wehen Wiesbaden
861,CA Peñarol
29095,Extremadura UD
347,FC Metz
127,SC Paderborn 07
29228,Royal Excel Mouscron 
330,Clube Atlético Mineiro
899,Walsall FC
422,Wisla Kraków
677,Ipswich Town
4561,CS Emelec
8054,Sydney FC
1421,Stade Reims
3688,Accrington Stanley
1123,Norwich City
16704,FK Krasnodar
441,Apollon Smyrnis
350,Sheffield United
3709,Getafe CF
614,Clube de Regatas do Flamengo
714,RCD Espanyol Barcelona
18,Borussia Mönchengladbach
11245,UD San Sebastián de los Reyes
30,FC Hansa Rostock
759,Slask Wroclaw
9572,BSG Chemie Leipzig
983,TSG 1899 Hoffenheim II
2293,Konyaspor
2727,Oud-Heverlee Leuven
92,SC Fortuna Köln
257,FC St. Gallen 1879
349,Barnsley FC
9855,LDU Quito
16,Borussia Dortmund
162,AS Monaco
6890,Istanbul Basaksehir 
9252,Liverpool FC U23
1039,Queens Park Rangers
12321,Girona FC
855,EA Guingamp
2999,Hamilton Academical FC
1091,PAOK Thessaloniki
31,Liverpool FC
985,Manchester United
1010,Watford FC
2414,AC Horsens
1044,Djurgardens IF
398,SS Lazio
3008,Hull City
85,SV Waldhof Mannheim
1030,Asociación Atlética Argentinos Juniors
2288,Swansea City
543,Wolverhampton Wanderers
3455,Forest Green Rovers 
1198,Lincoln City
1060,Colchester United
129,SG Dynamo Dresden
18916,Guangzhou R&F
4,1.FC Nuremberg
368,Sevilla FC
7055,Tigres UANL
6699,Exeter City
1042,Crewe Alexandra
157,KAA Gent
417,OGC Nice
970,Perth Glory
1032,Reading FC
3612,Al Ahli Sports Club
413,LASK
1083,FK Rostov
683,Olympiacos Piraeus
1084,Málaga CF
409,Red Bull Salzburg
448,FK Vojvodina Novi Sad
3716,Newport County
762,Newcastle United
667,RC Strasbourg Alsace
1038,UC Sampdoria
12374,Altinordu
610,Ajax Amsterdam
1326,Chongqing Dangdai Lifan
33,FC Schalke 04
3,1. FC Köln
180,Southampton FC
234,Feyenoord Rotterdam
862,Chievo Verona
932,Lokomotiv Moscow
19789,Yeni Malatyaspor
367,Rayo Vallecano
1035,Sheffield Wednesday
687,Molde FK
26,FC Basel 1893
33714,Tianjin Quanjian
79,VfB Stuttgart
6321,Vancouver Whitecaps FC
720,FC Porto
38,Fortuna Düsseldorf
3277,CD Universidad Católica
105,SV Darmstadt 98
46,Inter Milan
403,Willem II Tilburg
2662,SKN St. Pölten
5,AC Milan
1181,Blackpool FC
3694,AFC Telford United
23826,RB Leipzig
1028,Millwall FC
170,Rapid Vienna
40812,CS Universitatea Craiova
405,Aston Villa
82,VfL Wolfsburg
189,Club Atlético Boca Juniors
641,Middlesbrough FC
184,Club Alianza Lima
86,SV Werder Bremen
679,Club Athletico Paranaense
150,Real Betis Balompié
66,SpVgg Unterhaching
336,Sporting CP
3187,Tianjin Teda
589,Antalyaspor
1071,Wigan Athletic
473,1.FC Nuremberg II
358,Charlton Athletic
1465,GD Estoril
