id,Label,Modularity Class
800,Atalanta BC,Other
1085,Vitória Setúbal FC,Other
368,Sevilla FC,Other
127,SC Paderborn 07,Other
33,FC Schalke 04,Other
2457,Belenenses SAD,Other
141,Galatasaray SK,Other
3535,Ulsan Hyundai,Other
276,Hellas Verona,Other
2454,Doncaster Rovers,Other
533,TSG 1899 Hoffenheim,Other
1045,Notts County,Other
7047,Maidstone United,Other
29095,Extremadura UD,Other
447,HNK Hajduk Split,Other
984,West Bromwich Albion,Other
3057,Standard Liège,Other
8590,Atlas Guadalajara,Other
383,PSV Eindhoven,Other
42,Hannover 96,Other
714,RCD Espanyol Barcelona,Other
1027,Bradford City,Other
159,Red Star Belgrade,Other
189,Club Atlético Boca Juniors,Other
506,Juventus FC,Other
16696,Gyeongnam FC,Other
468,Sparta Rotterdam,Other
1083,FK Rostov,Other
18916,Guangzhou R&F,Other
2963,Burton Albion,Other
1148,Brentford FC,Other
27774,Cork City FC,Other
790,NK Maribor,Other
1029,Club Atlético Vélez Sarsfield,Other
86,SV Werder Bremen,Other
4561,CS Emelec,Other
336,Sporting CP,Other
4634,FK Vozdovac,Other
29831,FC Viitorul ,Other
610,Ajax Amsterdam,Other
199,Sport Club Corinthians Paulista,Other
416,Torino FC,Other
114,Besiktas JK,Other
49734,FC Jumilla,Other
1030,Asociación Atlética Argentinos Juniors,Other
1072,Peterborough United,Other
1028,Millwall FC,Other
1042,Crewe Alexandra,Other
1078,Oldham Athletic,Other
350,Sheffield United,Other
2805,Wycombe Wanderers,Other
3948,Royale Union Saint Gilloise,Other
349,Barnsley FC,Other
687,Molde FK,Other
405,Aston Villa,Other
324,Pogon Szczecin,Other
131,FC Barcelona,Other
897,Deportivo de La Coruña,Other
677,Ipswich Town,Other
1041,Olympique Lyon,Other
82,VfL Wolfsburg,Other
3054,Shrewsbury Town,Other
157,KAA Gent,Other
232,Spartak Moscow,Other
44,Hertha BSC,Other
1194,Rotherham United,Other
585,São Paulo Futebol Clube,Other
294,SL Benfica,Other
418,Real Madrid,Other
1082,LOSC Lille,Other
6321,Vancouver Whitecaps FC,Other
3277,CD Universidad Católica,Other
150,Real Betis Balompié,Other
3537,Crawley Town,Other
6356,Mamelodi Sundowns FC,Other
10948,Guangzhou Evergrande Taobao,Other
2420,Vitória Guimarães SC,Other
30,FC Hansa Rostock,Other
79,VfB Stuttgart,Other
5432,Al-Nasr (Dubai),Other
1032,Reading FC,Other
660,Shakhtar Donetsk,Other
330,Clube Atlético Mineiro,Other
10093,Independiente Medellín,Other
162,AS Monaco,Other
417,OGC Nice,Other
601,KV Kortrijk,Other
6954,Central Coast Mariners,Other
868,MKE Ankaragücü,Other
1039,Queens Park Rangers,Other
4171,Benevento Calcio,Other
22,Derby County,Other
990,Coventry City,Other
1071,Wigan Athletic,Other
826,RC Lens,Other
2414,AC Horsens,Other
23826,RB Leipzig,Other
512,Stoke City,Other
20,Bursaspor,Other
1557,Würzburger Kickers,Other
972,Yeovil Town,Other
1123,Norwich City,Other
614,Clube de Regatas do Flamengo,Other
38,Fortuna Düsseldorf,Other
419,GNK Dinamo Zagreb,Other
18544,Al-Nassr FC,Other
11177,Fleetwood Town,Other
126,Caykur Rizespor,Other
703,Nottingham Forest,Other
2282,Club Brugge KV,Other
58,RSC Anderlecht,Other
1038,UC Sampdoria,Other
3182,Shandong Luneng Taishan,Other
1050,Villarreal CF,Other
19789,Yeni Malatyaspor,Other
1247,Colorado Rapids,Other
5,AC Milan,Other
13,Atlético Madrid,Other
2410,CSKA Moscow,Other
1060,Colchester United,Other
46,Inter Milan,Other
1049,Valencia CF,Other
1088,Rochdale AFC,Other
2964,Scunthorpe United,Other
3008,Hull City,Other
4795,FC Ingolstadt 04,Other
862,Chievo Verona,Other
991,Milton Keynes Dons,Other
903,Hibernian FC,Other
1304,Heracles Almelo,Other
244,Olympique Marseille,Other
40812,CS Universitatea Craiova,Other
19309,Independiente del Valle,Other
1219,Chesterfield FC,Other
1020,Portsmouth FC,Other
358,Charlton Athletic,Other
197,AC Sparta Praha,Other
16214,Al-Wasl Sports Club,Other
132,NAC Breda,Other
683,Olympiacos Piraeus,Other
641,Middlesbrough FC,Other
2262,Plymouth Argyle,Other
667,RC Strasbourg Alsace,Other
1434,SC Telstar,Other
1025,Bologna FC 1909,Other
698,Bristol City,Other
4035,CF Pachuca,Other
124,Rangers FC,Other
2288,Swansea City,Other
697,FC Slovan Liberec,Other
337,Birmingham City,Other
472,UD Las Palmas,Other
3368,Levante UD,Other
8970,Frosinone Calcio,Other
8054,Sydney FC,Other
4529,DAC Dunajska Streda,Other
621,Athletic Bilbao,Other
899,Walsall FC,Other
504,Grasshopper Club Zurich,Other
11411,FC Banants Yerevan,Other
18,Borussia Mönchengladbach,Other
202,FC Groningen,Other
1403,Santos Laguna,Other
36,Fenerbahce SK,Other
15,Bayer 04 Leverkusen,Other
9636,Seattle Sounders FC,Other
969,HSC Montpellier,Other
10484,Kasimpasa,Other
465,St. Mirren FC,Other
3716,Newport County,Other
3455,Forest Green Rovers ,Other
499,Vitesse Arnhem,Other
2578,St. Johnstone FC,Other
234,Feyenoord Rotterdam,Other
9598,Kawasaki Frontale,Other
1244,CD Leganés,Other
3884,AFC Wimbledon,Other
11245,UD San Sebastián de los Reyes,Other
1096,Royal Antwerp FC,Other
16,Borussia Dortmund,Other
289,Sunderland AFC,Other
370,Aberdeen FC,Other
1455,FC Dordrecht,Other
39,1.FSV Mainz 05,Other
410,Udinese Calcio,Other
466,Preston North End,Other
2481,Sheriff Tiraspol,Other
1390,Cagliari Calcio,Other
511,Dundee FC,Other
1084,Málaga CF,Other
