Id,Label,League
935,SV Pasching,Austrian Bundesliga
4441,Wolfsberger AC,Austrian Bundesliga
2662,SKN St. Pölten,Austrian Bundesliga
4467,TSV Hartberg,Austrian Bundesliga
3551,SC Rheindorf Altach,Austrian Bundesliga
413,LASK,Austrian Bundesliga
503,VfB Admira Wacker Mödling,Austrian Bundesliga
11609,SK Austria Kärnten,Austrian Bundesliga
936,Casino Schwarz-Weiss Bregenz,Austrian Bundesliga
17444,SC Wiener Neustadt,Austrian Bundesliga
14,Austria Vienna,Austrian Bundesliga
2394,SV Kapfenberg,Austrian Bundesliga
10131,SV Grödig,Austrian Bundesliga
856,SV Mattersburg,Austrian Bundesliga
2444,FC Tirol Innsbruck,Austrian Bundesliga
122,SK Sturm Graz,Austrian Bundesliga
170,Rapid Vienna,Austrian Bundesliga
266,SV Ried,Austrian Bundesliga
409,SV Wüstenrot Salzburg,Austrian Bundesliga
316,Grazer AK,Austrian Bundesliga
155,FC Kärnten,Austrian Bundesliga
630,Racing Santander,La Liga
331,CA Osasuna,La Liga
3709,Getafe CF,La Liga
993,Córdoba CF,La Liga
13,Atlético Madrid,La Liga
1108,Deportivo Alavés,La Liga
714,RCD Espanyol Barcelona,La Liga
681,Real Sociedad,La Liga
237,RCD Mallorca,La Liga
1532,Albacete Balompié,La Liga
7971,Hércules CF,La Liga
12321,Girona FC,La Liga
418,Real Madrid,La Liga
1050,Villarreal CF,La Liga
1533,SD Eibar,La Liga
368,Sevilla FC,La Liga
2296,CD Numancia,La Liga
1084,Málaga CF,La Liga
134,Xerez CD,La Liga
2867,Recreativo Huelva,La Liga
3368,Levante UD,La Liga
171,Real Murcia CF,La Liga
1244,CD Leganés,La Liga
2448,Sporting Gijón,La Liga
3302,UD Almería,La Liga
142,Real Zaragoza,La Liga
621,Athletic Bilbao,La Liga
648,CD Tenerife,La Liga
897,Deportivo de La Coruña,La Liga
150,Real Betis Balompié,La Liga
5358,SD Huesca,La Liga
1049,Valencia CF,La Liga
2687,Cádiz CF,La Liga
16795,Granada CF,La Liga
366,Real Valladolid CF,La Liga
472,UD Las Palmas,La Liga
2497,Real Oviedo,La Liga
1531,Elche CF,La Liga
940,Celta de Vigo,La Liga
367,Rayo Vallecano,La Liga
5648,Gimnàstic de Tarragona,La Liga
131,FC Barcelona,La Liga
180,Southampton FC,Premier League
358,Charlton Athletic,Premier League
337,Birmingham City,Premier League
281,Manchester City,Premier League
405,Aston Villa,Premier League
1032,Reading FC,Premier League
3008,Hull City,Premier League
164,Blackburn Rovers,Premier League
399,Leeds United,Premier League
984,West Bromwich Albion,Premier League
1039,Queens Park Rangers,Premier League
355,Bolton Wanderers,Premier League
985,Manchester United,Premier League
11,Arsenal FC,Premier League
1020,Portsmouth FC,Premier League
762,Newcastle United,Premier League
22,Derby County,Premier League
379,West Ham United,Premier League
543,Wolverhampton Wanderers,Premier League
289,Sunderland AFC,Premier League
31,Liverpool FC,Premier League
677,Ipswich Town,Premier League
148,Tottenham Hotspur,Premier League
512,Stoke City,Premier League
931,Fulham FC,Premier League
1237,Brighton & Hove Albion,Premier League
603,Cardiff City,Premier League
1110,Huddersfield Town,Premier League
1123,Norwich City,Premier League
1132,Burnley FC,Premier League
990,Coventry City,Premier League
350,Sheffield United,Premier League
873,Crystal Palace,Premier League
29,Everton FC,Premier League
1027,Bradford City,Premier League
1181,Blackpool FC,Premier League
1071,Wigan Athletic,Premier League
641,Middlesbrough FC,Premier League
1003,Leicester City,Premier League
2288,Swansea City,Premier League
1010,Watford FC,Premier League
989,AFC Bournemouth,Premier League
631,Chelsea FC,Premier League
3508,SV Zulte Waregem,Jupiler Pro League
475,Sint-Truidense VV,Jupiler Pro League
2977,KSV Roeselare,Jupiler Pro League
2478,KRC Harelbeke,Jupiler Pro League
718,KFC Lommel SK,Jupiler Pro League
354,KV Mechelen,Jupiler Pro League
3898,FC Molenbeek Brüssel,Jupiler Pro League
9010,FCV Dender EH,Jupiler Pro League
601,KV Kortrijk,Jupiler Pro League
2861,KV Oostende,Jupiler Pro League
29228,Mouscron-Péruwelz,Jupiler Pro League
157,KAA Gent,Jupiler Pro League
498,KSC Lokeren,Jupiler Pro League
3772,AFC Tubize,Jupiler Pro League
1096,Royal Antwerp FC,Jupiler Pro League
566,Germinal Beerschot Antwerpen,Jupiler Pro League
520,Cercle Brugge ,Jupiler Pro League
2973,RWD Molenbeek,Jupiler Pro League
204,Lierse SK,Jupiler Pro League
1411,RAEC Mons,Jupiler Pro League
172,RSC Charleroi,Jupiler Pro League
1111,KSC Eendracht Aalst,Jupiler Pro League
1417,Heusden-Zolder SK,Jupiler Pro League
58,RSC Anderlecht,Jupiler Pro League
968,KVC Westerlo,Jupiler Pro League
2282,Club Brugge KV,Jupiler Pro League
2180,AA La Louviere,Jupiler Pro League
3057,Standard Liège,Jupiler Pro League
2727,Oud-Heverlee Leuven,Jupiler Pro League
28643,Waasland-Beveren,Jupiler Pro League
1073,KSK Beveren,Jupiler Pro League
1245,KAS Eupen,Jupiler Pro League
1433,Excelsior Mouscron,Jupiler Pro League
1184,KRC Genk,Jupiler Pro League
479,Slezsky FC Opava,Fortuna LIGA
13726,MFK Karvina,Fortuna LIGA
697,FC Slovan Liberec,Fortuna LIGA
892,FK Viktoria Zizkov,Fortuna LIGA
5545,FK Svit Zlin,Fortuna LIGA
6377,FK Ustí nad Labem,Fortuna LIGA
5225,FC Stavo Artikel Brno,Fortuna LIGA
715,FC Bohemians Prag 1905,Fortuna LIGA
12861,FK Bohemians Prag,Fortuna LIGA
814,FK Teplice,Fortuna LIGA
1322,FK Jablonec,Fortuna LIGA
5546,FK Mladá Boleslav,Fortuna LIGA
135,FK Chmel Blsany,Fortuna LIGA
377,FC Banik Ostrava,Fortuna LIGA
62,SK Slavia Prag,Fortuna LIGA
600,FK Drnovice,Fortuna LIGA
797,FK Banik Most,Fortuna LIGA
7975,FC Vysocina Jihlava,Fortuna LIGA
2311,SK Sigma Olomouc,Fortuna LIGA
6380,SK Kladno,Fortuna LIGA
197,AC Sparta Praha,Fortuna LIGA
5544,1. FC Synot,Fortuna LIGA
2598,FC Marila Pribram,Fortuna LIGA
1321,SK Dynamo Ceske Budejovice,Fortuna LIGA
450,FK Dukla Prag,Fortuna LIGA
941,FC Viktoria Plzen,Fortuna LIGA
13716,1.SC Znojmo,Fortuna LIGA
1897,FC Hradec Králové,Fortuna LIGA
18232,Sporting Fingal,Other
12497,Kütahyaspor,Other
6896,SC Lusitânia,Other
26598,FC Trélissac,Other
6763,Club Mantois 78,Other
6361,Podbeskidzie Bielsko-Biala,Other
43388,ASD Genova Calcio,Other
12390,MKE Kirikkalespor,Other
54375,Asteras Petriti,Other
24547,FC Karabakh Wien,Other
5372,Eintracht Frankfurt U19,Other
4386,BNZ FC Kärnten U19,Other
14160,ASD Boca Pietri Carpi,Other
14188,Mukura Victory Sports FC,Other
12600,Associação Atlética Coruripe (AL),Other
5496,FC Naters Oberwallis,Other
6347,Paysandu Sport Club,Other
34133,Melbourne City FC U21,Other
3550,SC Kapellen-Erft,Other
33330,Juliana '31,Other
3739,KF Teuta,Other
27932,MITOS Novocherkassk,Other
10716,VV Kloetinge,Other
7020,CD Everton,Other
2695,Moroka Swallows,Other
7178,Criciúma Esporte Clube,Other
1774,FC Mulhouse 2000,Other
24320,Orhangazi Genclerbirligi,Other
6486,FK Hvezda Cheb,Other
37683,RC Arbaa,Other
4353,FC Altstetten Zürich,Other
166,VfB Oldenburg,Other
2826,SC Feyenoord Rotterdam,Other
37975,Sivas Belediyespor,Other
35546,Valeriodoce Esporte Clube (MG),Other
54250,RJS Heppignies-Lambusart-Fleurus,Other
3892,FC Eindhoven,Other
11325,RES Couvin-Mariembourg,Other
21836,VV Nieuwerkerk,Other
4450,SV Gallneukirchen,Other
4835,New York Cosmos,Other
33141,FK Kalush,Other
7057,Associação Atlética Portuguesa (SP),Other
26722,FC Fondi 1922,Other
3973,Brasiliense FC (DF),Other
14621,NK Zvijezda Gradacac,Other
12466,Orhangazispor,Other
16181,AS Trencin U19,Other
710,NK Celje ,Other
