Id,Label,timeset,country,num_players_indegree,num_players_outdegree,num_players_degree,num_players_weighted_indegree,num_players_weighted_outdegree,num_players_weighted_degree,total_normalized_amount_indegree,total_normalized_amount_oudegree,total_normalized_amount_degree,total_normalized_amount_weighted_indegree,total_normalized_amount_weighted_outdegree,total_normalized_amount_weighted_degree
327,NK Osijek,,Croatia,106,120,226,229,214,443,106,120,226,0.153793,2.59129,2.745083
5551,Newcastle United Jets,,Australia,5,4,9,6,4,10,5,4,9,0.039474,0.12237,0.161844
422,Wisla Kraków,,Poland,32,39,71,34,48,82,32,39,71,0.532886,4.336356,4.869242
403,Willem II Tilburg,,Netherlands,92,108,200,160,206,366,92,108,200,0.651227,4.458218,5.109444
5358,SD Huesca,,Spain,23,34,57,29,57,86,23,34,57,0.518519,0.102074,0.620593
714,RCD Espanyol Barcelona,,Spain,125,123,248,196,200,396,125,123,248,20.492544,29.392712,49.885257
24,Eintracht Frankfurt,,Germany,98,114,212,154,171,325,98,114,212,14.507233,9.533893,24.041125
52,MSV Duisburg,,Germany,40,61,101,61,93,154,40,61,101,1.695452,1.549088,3.24454
2424,Gil Vicente FC,,Portugal,93,90,183,144,187,331,93,90,183,0,0.967472,0.967472
19771,Akhisar Belediyespor,,Turkey,62,48,110,109,76,185,62,48,110,0.187164,0.960233,1.147397
133,SC Cambuur-Leeuwarden,,Netherlands,39,49,88,66,82,148,39,49,88,0.016045,0.292839,0.308884
1304,Heracles Almelo,,Netherlands,72,77,149,145,143,288,72,77,149,0.853911,2.864805,3.718717
1321,SK Dynamo Ceske Budejovice,,Czech Republic,62,75,137,126,159,285,62,75,137,0.019476,0.715279,0.734755
1293,Tromsø IL,,Norway,9,11,20,11,14,25,9,11,20,0.239921,1.419939,1.659859
2477,Karpaty Lviv,,Ukraine,129,109,238,186,173,359,129,109,238,0.548363,2.794263,3.342626
338,Dynamo Kyiv,,Ukraine,136,86,222,246,126,372,136,86,222,46.933774,28.533139,75.466914
2741,Baltika Kaliningrad,,Russia,28,21,49,44,31,75,28,21,49,0.069392,0.003843,0.073235
11126,Mordovia Saransk,,Russia,37,35,72,52,59,111,37,35,72,0.216969,0.12351,0.340479
2977,KSV Roeselare,,Belgium,57,65,122,98,116,214,57,65,122,0.003924,0.129873,0.133797
9010,FCV Dender EH,,Belgium,39,32,71,66,50,116,39,32,71,0,0.039961,0.039961
28095,FK Ufa,,Russia,60,40,100,84,55,139,60,40,100,0.502038,0.990575,1.492613
1083,FK Rostov,,Russia,138,111,249,233,242,475,138,111,249,3.64747,3.929565,7.577036
450,FK Dukla Prag,,Czech Republic,63,61,124,111,92,203,63,61,124,0.054557,0.115782,0.170338
56670,FK Hořovicko,,Czech Republic,1,0,1,1,0,1,1,0,1,0,0,0
398,SS Lazio,,Italy,186,132,318,378,213,591,186,132,318,89.412418,72.354058,161.766476
1025,Bologna FC 1909,,Italy,149,111,260,334,265,599,149,111,260,29.302345,26.614838,55.917184
244,Olympique Marseille,,France,150,147,297,305,236,541,150,147,297,78.948914,79.216679,158.165592
11,Arsenal FC,,England,163,103,266,293,158,451,163,103,266,140.727046,97.604954,238.332
33,FC Schalke 04,,Germany,104,107,211,177,158,335,104,107,211,48.035217,40.21638,88.251597
3631,CF América,,Mexico,12,16,28,13,16,29,12,16,28,2.379882,4.12252,6.502402
1496,Tesla Pardubice,,Czech Republic,6,11,17,7,20,27,6,11,17,0,0,0
5546,FK Mladá Boleslav,,Czech Republic,100,94,194,229,189,418,100,94,194,0.484618,1.762334,2.246953
6894,Kayseri Erciyesspor,,Turkey,74,62,136,160,143,303,74,62,136,0.506341,0.46382,0.970161
3205,Kayserispor,,Turkey,144,109,253,225,215,440,144,109,253,3.351581,9.086279,12.43786
336,Sporting CP,,Portugal,209,178,387,403,254,657,209,178,387,37.054688,58.706575,95.761262
8718,Sport Club do Recife,,Brazil,16,16,32,17,19,36,16,16,32,0.140769,0.522202,0.662971
114,Besiktas JK,,Turkey,163,126,289,335,228,563,163,126,289,36.991257,16.590697,53.581955
681,Real Sociedad,,Spain,88,76,164,130,123,253,88,76,164,22.579886,21.926005,44.505891
144,HNK Rijeka,,Croatia,159,157,316,339,268,607,159,157,316,1.012958,6.195688,7.208646
276,Hellas Verona,,Italy,115,95,210,220,212,432,115,95,210,8.058274,16.015038,24.073312
24319,Diyarbakir Kayapinar Belediyespor,,Turkey,0,1,1,0,1,1,0,1,1,0,0,0
2292,Elazigspor,,Turkey,78,58,136,131,125,256,78,58,136,0.146391,0.532958,0.679349
897,Deportivo de La Coruña,,Spain,103,108,211,197,171,368,103,108,211,34.507766,37.025028,71.532794
6767,Real Madrid Castilla,,Spain,17,37,54,20,57,77,17,37,54,0.210526,8.251004,8.46153
2662,SKN St. Pölten,,Austria,34,39,73,52,60,112,34,39,73,0.004505,0.061821,0.066326
503,VfB Admira Wacker Mödling,,Austria,98,99,197,159,177,336,98,99,197,0.121569,0.73071,0.852279
6996,Goverla-Zakarpattia Uzhgorod,,Ukraine,74,73,147,143,168,311,74,73,147,0,0,0
6414,Metalist Kharkiv,,Ukraine,89,83,172,191,150,341,89,83,172,12.721252,10.42171,23.142962
1427,Türkiyemspor Berlin,,Germany,4,4,8,5,4,9,4,4,8,0,0,0
354,KV Mechelen,,Belgium,110,103,213,190,175,365,110,103,213,0.847135,4.520807,5.367941
7545,KEG Gistel,,Belgium,2,0,2,2,0,2,2,0,2,0,0,0
45468,Aydinspor,,Turkey,3,8,11,3,15,18,3,8,11,0,0,0
833,Denizlispor,,Turkey,120,91,211,235,194,429,120,91,211,0.944758,3.446489,4.391248
2921,Delfino Pescara 1936,,Italy,69,51,120,138,143,281,69,51,120,6.637616,9.191779,15.829396
46,FC Internazionale,,Italy,232,173,405,664,345,1009,232,173,405,197.32057,148.429964,345.750534
2439,Kuban Krasnodar,,Russia,89,69,158,159,145,304,89,69,158,8.328418,11.251624,19.580041
932,Lokomotiv Moscow,,Russia,109,80,189,204,129,333,109,80,189,44.057811,23.050921,67.108732
3691,Tom Tomsk,,Russia,77,80,157,135,180,315,77,80,157,2.405169,1.902966,4.308136
10138,NK HASK Zagreb,,Croatia,11,13,24,16,23,39,11,13,24,0,0,0
918,NK Inter Zapresic,,Croatia,116,129,245,253,245,498,116,129,245,0.064073,1.61058,1.674653
26459,NK Veres Rivne,,Ukraine,14,19,33,27,37,64,14,19,33,0,0,0
9007,Arsenal Kyiv,,Ukraine,95,107,202,189,214,403,95,107,202,0.459939,1.228817,1.688756
252,Genoa CFC,,Italy,229,161,390,613,380,993,229,161,390,66.453714,83.689933,150.143647
13562,Savona FBC,,Italy,7,10,17,16,35,51,7,10,17,0,0,0
11427,Oakleigh Cannons,,Australia,0,1,1,0,1,1,0,1,1,0,0,0
3392,Apollon Kalamarias,,Greece,48,49,97,88,84,172,48,49,97,0.099612,0.487726,0.587338
2944,Ankaraspor,,Turkey,94,85,179,235,190,425,94,85,179,1.071876,1.599212,2.671088
1507,Dardanelspor,,Turkey,8,13,21,14,22,36,8,13,21,0,0.331805,0.331805
982,CD Nacional,,Portugal,148,140,288,244,233,477,148,140,288,1.218612,6.468583,7.687195
2423,CD Santa Clara,,Portugal,45,38,83,76,73,149,45,38,83,0,0.123722,0.123722
449,Trabzonspor,,Turkey,164,135,299,430,280,710,164,135,299,29.444241,19.052496,48.496737
4574,Gümüshane Doganspor,,Turkey,13,8,21,19,9,28,13,8,21,0,0,0
4106,Casertana FC,,Italy,4,6,10,4,6,10,4,6,10,0,0,0
862,Chievo Verona,,Italy,214,165,379,658,373,1031,214,165,379,13.475647,21.069117,34.544764
669,FK Partizan Belgrade,,Serbia,30,61,91,32,93,125,30,61,91,0.268501,26.579213,26.847714
