source,target,weight
543,4529,1
1110,1027,1
31,1088,1
1237,1039,1
281,371,1
281,447,1
989,3884,1
1010,2553,1
631,698,1
1003,22,1
631,29,1
180,2963,1
989,9636,1
29,641,1
11,6195,1
11,358,1
379,358,1
603,2262,1
506,631,1
631,862,1
762,1042,1
29,603,1
29,681,1
29,512,2
931,1082,1
1110,677,1
985,601,1
1110,641,1
1237,38,1
1132,677,1
543,49734,4
180,940,2
180,1244,1
1237,29095,1
873,157,1
603,1219,1
58,543,1
543,11245,1
543,405,1
1010,8590,1
631,13,1
603,1020,1
1010,3057,1
1003,2964,1
11,931,1
969,1110,1
29,350,1
989,124,1
29,677,1
931,677,1
281,8054,1
1003,2381,1
1237,1030,1
543,988,1
162,762,1
931,19789,1
1010,3709,1
762,984,2
1237,1071,2
1237,862,1
180,124,1
631,399,2
281,202,1
29,504,1
294,543,1
543,1060,1
762,1035,2
379,167,1
543,475,1
931,349,1
543,641,1
31,44,1
16,931,1
180,991,1
29,58,1
631,405,1
543,30,1
1132,1039,1
281,12321,1
281,132,3
631,873,1
11,42,1
543,2262,1
631,499,2
989,903,1
543,512,1
148,162,1
989,972,1
931,29095,1
180,1434,1
29,234,1
418,631,1
631,330,1
1003,677,1
762,697,1
1237,29831,1
931,984,1
543,1191,1
1003,2727,1
1003,4035,1
180,234,1
13,543,1
585,873,1
1003,162,1
543,990,1
131,11,1
1237,350,1
31,350,1
148,1035,1
1010,370,1
1010,38,1
180,1032,1
543,1088,1
180,641,1
984,762,1
762,20,1
1110,7,1
543,472,1
543,324,1
631,1032,2
762,703,1
2288,873,1
989,337,1
1010,410,3
631,995,1
29,988,1
543,1020,1
1003,36,1
985,931,1
985,370,1
1010,988,1
543,677,1
31,1421,1
631,1035,1
985,1085,1
379,703,1
1237,790,1
631,3008,1
1003,371,1
543,703,1
281,399,1
11,2262,1
148,2288,1
379,2844,1
281,25580,1
31,180,1
1010,289,1
543,1557,1
631,1244,1
985,2964,1
985,405,1
1110,3054,1
31,903,1
29,984,1
1003,984,1
631,1421,1
873,1110,1
989,3008,1
631,36,1
1237,3948,1
1110,1045,1
379,3684,1
281,3535,1
29,430,1
603,1072,1
1010,4634,1
533,931,1
150,603,1
13,931,1
29,2410,1
379,430,1
281,1403,1
1237,1194,1
603,350,1
131,29,1
631,416,1
368,931,1
29,141,1
631,16,1
11,1032,1
180,46,1
543,2553,1
603,337,1
180,164,1
162,1003,1
989,603,1
631,5,1
873,7047,1
873,126,1
1237,4561,1
379,1078,1
379,1084,1
543,683,1
873,511,1
281,897,1
989,405,1
631,1049,1
1132,6954,1
31,114,1
603,991,1
29,1071,1
31,989,1
543,899,1
29,405,1
379,641,1
631,800,1
873,2481,1
