source,target,weight
192,167,1
1047,1385,6
2,41,5
1321,18985,1
3592,6994,9
22330,398,1
1041,379,1
415,244,6
800,408,14
6195,419,1
2745,653,1
347,819,1
2431,3323,1
800,252,10
10483,820,89
12,410,8
32125,1025,1
30,1,1
2979,2180,1
21957,3999,6
10484,3216,1
5,537,1
13,368,5
1010,29,3
2457,1075,3
1119,2655,1
5544,197,11
1025,10155,6
749,416,3
10688,11749,1
12054,11127,3
683,11107,1
987,337,1
2639,1075,7
3057,3898,5
798,3508,1
798,234,45
1023,660,2
126,2375,6
2262,3008,1
1070,720,2
614,336,1
314,419,9
2598,6541,1
1199,2861,2
62,1562,2
1083,1180,1
3336,2125,1
209,331,1
720,1075,24
86,35,6
1029,3302,1
14588,2227,1
566,3057,3
6767,714,7
6621,2598,2
1775,2441,2
1245,656,5
4128,16594,1
1025,419,2
1420,1416,2
683,16795,2
1386,332,3
419,447,5
3725,2700,9
6808,1411,2
820,1296,1
1426,234,3
41,39,4
1083,148,1
5,418,2
3728,172,6
1444,3392,1
1049,368,4
1081,969,1
1429,6574,8
985,46,1
11127,11755,3
533,200,1
1322,197,29
1010,148,4
28596,5546,4
4699,2292,1
5219,1091,4
648,366,2
5546,2598,7
422,833,1
19083,377,8
999,2364,1
11194,12817,5
468,7077,1
46,1307,4
408,410,16
9249,358,1
1436,2423,3
40426,11126,1
2424,3325,2
892,5546,8
367,13,11
472,16795,5
35415,1091,14
16,610,1
3243,2696,5
5225,1562,4
368,331,4
4326,130,31
299,82,1
1429,5,1
4000,533,3
19522,499,1
687,2282,3
86,10,3
2737,3733,1
506,1390,12
3592,6992,7
3385,128,1
379,762,2
982,8294,1
124,358,2
14,409,8
8838,49364,4
4535,2431,2
3522,862,3
16,127,2
1775,2410,1
969,2580,2
371,984,2
121,14589,2
4391,918,1
244,1158,12
38,533,2
16795,410,45
1005,506,4
157,3057,8
210,932,1
1321,450,5
1267,2381,4
524,152,5
14893,130,1
2977,28643,5
330,720,3
9251,42,1
52,42,3
1293,2282,3
128,2680,16
12861,5225,1
583,124,3
940,621,1
18105,33141,3
265,2381,1
11,1050,4
450,4868,1
609,839,1
1532,21957,1
447,8101,21
4770,144,1
2239,862,15
339,4482,12
6987,294,9
1041,131,4
7976,2,1
265,5219,11
6992,3592,2
307,155,1
1110,29,1
968,354,6
1210,10348,1
42039,450,1
306,2288,2
2919,5,12
1132,405,4
683,398,1
3057,290,5
317,856,1
327,5107,4
1108,2464,3
4441,42821,1
2,39,3
873,8981,2
1154,157,1
24420,1533,7
3205,6890,4
1244,621,7
4585,2441,12
399,22,1
985,1035,4
36,355,1
449,1264,12
978,1301,2
192,1483,2
804,697,3
6993,660,26
6600,46,1
5545,18850,1
475,3840,1
4687,2783,2
232,2703,8
1083,2374,6
1386,506,3
2439,22010,1
2227,16296,7
614,46,3
133,2815,1
1096,354,8
1075,121,6
6996,2783,5
458,669,1
2477,7130,1
10483,15273,6
126,44286,1
20699,20,1
8101,6087,2
18938,1038,1
1387,3057,1
982,25243,5
21173,420,4
383,720,1
814,6377,43
144,10247,1
7378,720,19
12634,306,1
1307,800,5
3386,128,3
9352,1104,1
2079,553,1
866,409,1
2687,2503,1
5595,845,2
399,2288,5
3325,29228,2
2566,935,1
918,327,2
2239,800,5
1443,128,1
506,430,11
38290,800,5
553,4600,1
6996,6414,11
408,2655,2
234,828,1
148,405,8
135,797,12
6992,10690,6
5546,197,17
1307,12,10
862,52420,1
5,607,4
358,1237,3
5,5174,4
1268,11487,2
31,603,4
1162,1175,6
18303,21216,1
11083,419,5
441,2441,7
6996,338,11
506,4147,2
82,533,4
87,11,1
6890,58,1
398,46,15
327,28990,5
3772,347,2
1003,1098,3
5544,479,5
2598,33472,1
1014,223,2
714,1531,8
641,601,1
339,197,1
383,467,7
14503,8024,1
1098,29,2
524,1179,1
3008,148,3
4959,7179,1
252,16704,2
5225,7975,7
232,656,1
2,108,1
31,3688,7
53,631,2
3592,339,45
37276,683,10
978,4814,1
349,28095,1
2362,10139,41
2655,130,3
11,1219,1
3772,9010,2
935,155,1
3205,289,1
1090,1227,4
6483,1322,3
653,37276,5
583,11720,1
130,12,9
317,200,4
3345,2639,3
720,2425,14
22653,2441,1
8,33,3
2410,41,1
4083,458,4
2381,2330,5
1433,968,2
18506,5546,1
232,3197,1
7378,15368,1
1028,148,9
2619,1050,1
2457,40582,1
6105,1075,3
384,306,3
2566,208,1
4031,800,2
35119,982,2
192,324,1
2439,5287,9
239,170,1
759,128,1
1150,631,2
141,1467,3
1386,6195,10
2374,11126,4
12460,2362,1
8827,2424,6
46,5,15
281,1020,7
86,452,2
1032,336,1
28,38,1
6,2463,5
434,653,2
5219,2441,8
2394,66,1
2863,1227,1
3899,3391,2
458,12,9
29962,169,2
3327,6911,1
1429,862,13
3691,2696,4
2598,10441,1
366,368,3
27745,2457,1
152,11282,3
11,379,11
2425,9668,1
65,252,1
338,524,1
897,114,2
1512,114,1
5111,12109,3
2995,2700,1
3514,936,2
5026,157,5
162,131,5
2566,5107,4
10138,327,2
61,826,2
4589,2726,2
1387,4558,4
1910,1184,2
1025,46,19
1085,7811,1
710,2374,1
5743,10484,2
10690,16242,2
683,122,2
1283,1269,2
418,294,5
1283,133,2
537,86,1
6,524,6
1104,410,7
2995,2425,3
7975,45276,1
223,6504,1
667,244,11
332,130,7
3688,164,4
16492,2448,2
2374,9007,1
276,1005,4
30,33,2
5543,839,2
699,82,1
12302,16243,1
6249,4482,3
447,599,7
14,2444,5
862,1408,11
1071,2805,1
5107,60,1
868,820,8
49394,28643,1
12109,5107,8
314,456,12
12,46,12
642,200,3
982,7084,1
3368,150,6
868,449,11
12381,449,72
3134,157,3
3274,982,1
122,17444,8
2431,2457,4
22,82,1
4494,5225,1
2696,2698,7
2671,47,4
2079,4599,2
9540,398,1
409,3176,1
22,405,4
355,399,4
105,533,3
918,16795,1
1304,1035,1
6418,3396,1
12438,2698,1
3592,13328,4
699,128,1
347,10838,3
172,10484,1
1245,3057,6
472,2441,5
11278,447,1
336,7179,1
648,2639,2
709,141,1
276,2441,1
2477,2227,3
44,82,5
339,2227,6
2726,3392,2
4785,2362,1
503,936,1
1277,398,1
25243,1091,1
6189,2696,3
128,5220,4
2598,32013,1
52,3205,1
1119,6678,5
12414,6992,1
3592,2742,2
1186,10690,1
2696,19401,1
127,4795,2
475,1433,1
58,683,4
797,12005,1
6227,14,1
2457,36590,1
660,679,3
10670,416,1
2814,405,1
