source,target,weight
281,1132,4450000
1085,985,0
720,1003,25080000
232,631,0
1110,990,0
1132,2454,0
60,1003,24050000
23826,31,68400000
1045,1110,0
1042,762,0
603,989,0
1010,131,0
1455,603,0
4171,762,0
903,989,0
687,1237,0
1049,1237,7980000
1237,698,0
2288,148,0
132,281,0
2964,985,0
10093,1010,0
1072,603,0
989,703,7750000
2288,931,19210000
415,989,0
180,1082,0
985,984,8380000
697,762,0
447,281,5470000
180,40812,0
2963,180,0
931,985,0
1010,294,0
762,984,0
371,180,9060000
2457,631,0
1237,1083,1940000
1038,11,34200000
180,1038,13680000
1088,31,0
417,931,38760000
677,1132,0
1020,603,0
1132,11177,0
543,1114,0
358,1110,1940000
603,2578,0
39,1110,2850000
698,631,0
1071,29,0
126,873,0
162,543,8950000
991,180,0
3684,379,0
2288,762,7640000
4634,1010,2570000
405,985,0
984,29,0
162,1003,15960000
1010,29,44690000
985,610,18240000
13,543,39330000
29,2440,0
10484,631,0
683,29,0
9614,1010,2570000
698,931,7640000
543,2964,0
1110,39,0
141,281,0
714,1010,2280000
49734,543,0
1032,180,0
1237,1032,4450000
281,2288,3880000
720,985,25080000
3368,989,31920000
1434,180,0
159,281,0
543,1050,0
281,79,10260000
989,543,13000000
1110,703,376000
276,762,0
39,1237,0
22,1132,13910000
281,418,19380000
1003,281,77290000
873,294,0
660,281,0
543,1060,0
1420,543,0
720,543,13680000
51663,762,27360000
1078,379,0
543,13,0
873,5432,0
1032,631,0
3054,1110,0
16,11,18240000
873,27774,0
543,475,0
1003,18544,18810000
18,379,0
1010,3277,502000
1191,543,0
349,931,0
1071,1237,3760000
1027,1110,0
677,29,0
244,931,28330000
6321,873,0
11,1091,1140000
1032,603,3930000
399,631,0
1078,543,0
543,989,0
1110,22,0
897,11,0
1010,410,1254000
603,1027,0
11,379,5020000
873,132,0
897,762,4560000
989,991,0
197,762,4560000
2381,762,0
350,1237,0
603,1071,0
350,989,12880000
31,1088,0
972,989,0
988,1010,0
16,631,72960000
114,931,9120000
289,1010,0
499,631,0
162,1110,34200000
543,202,0
1244,989,17100000
1110,1027,0
30,543,0
543,512,19320000
762,197,0
405,989,0
15,11,28500000
897,1237,6840000
7411,1237,1710000
131,29,60090000
3709,11,0
631,162,0
1247,543,0
1035,631,0
58,31,0
1060,543,0
641,1110,0
985,3182,13680000
1035,762,0
762,681,13680000
984,1003,4560000
1088,543,0
991,603,0
601,281,0
11,8970,0
33,873,0
762,164,2170000
1269,281,2850000
762,631,0
1035,148,0
2288,379,9120000
762,720,5310000
1237,1123,0
511,873,0
415,379,28500000
873,16696,0
475,543,0
2964,1003,0
641,543,22800000
512,1132,0
2262,603,0
762,931,23030000
405,543,0
466,603,4560000
31,506,0
7047,873,0
337,603,0
370,985,0
1049,985,0
698,603,12940000
931,3455,0
1003,899,0
762,1072,821000
543,399,3880000
873,2288,0
1219,603,0
1194,1237,0
12,31,71250000
1010,868,0
1096,1010,0
603,337,0
1110,4795,0
33,631,0
1110,2455,0
