country,rita_value,total_num_transfers_within_country
Germany,0.02739890644715496,2736.0
England,0.061347112900318454,6126.0
France,0.033427467003144466,3338.0
Italy,0.10981593863285866,10966.0
Spain,0.034709287187806685,3466.0
Portugal,0.04394239820545174,4388.0
Belgium,0.030953954615554086,3091.0
Russia,0.03175509223096797,3171.0
Ukraine,0.026237256904804822,2620.0
Netherlands,0.03093392617516874,3089.0
Turkey,0.06214825051573234,6206.0
Austria,0.019367501852630736,1934.0
Greece,0.04565482985839893,4559.0
Croatia,0.03211560415790422,3207.0
Czech Republic,0.0344389032426045,3439.0
